obsv_id,pnboia_id,datetime,wvht,wvht_flag_pnboia,wvht_flag_qartod,tp,tp_flag_pnboia,tp_flag_qartod,wvdir,wvdir_flag_pnboia,wvdir_flag_qartod
58180,29,2022-08-15 04:03:48+00:00,1.83,2,4,12.8,0,4,92,0,1
58179,29,2022-08-15 03:33:48+00:00,1.56,2,4,12.8,0,4,88,0,1
58172,29,2022-08-15 03:03:48+00:00,1.78,2,4,11.4,0,4,105,0,1
58171,29,2022-08-15 02:33:48+00:00,1.68,2,4,11.4,0,4,95,0,1
58164,29,2022-08-15 02:03:48+00:00,1.76,2,4,11.4,0,4,92,0,1
58163,29,2022-08-15 01:33:48+00:00,3.45,2,4,25.6,0,4,91,0,1
58156,29,2022-08-15 01:03:48+00:00,1.66,2,4,11.4,0,4,90,0,1
58155,29,2022-08-15 00:33:48+00:00,1.74,2,4,12.8,0,4,93,0,1
58148,29,2022-08-15 00:03:48+00:00,1.82,2,4,11.4,0,4,94,0,1
58147,29,2022-08-14 23:33:48+00:00,1.91,2,4,11.4,0,4,90,0,1
58140,29,2022-08-14 23:03:48+00:00,1.75,2,4,11.4,0,4,93,0,1
58139,29,2022-08-14 22:33:48+00:00,1.86,2,4,11.4,0,4,94,0,1
58132,29,2022-08-14 22:03:48+00:00,1.91,2,4,12.8,0,4,99,0,1
58131,29,2022-08-14 21:33:48+00:00,1.99,2,4,11.4,0,4,99,0,1
58124,29,2022-08-14 21:03:48+00:00,1.94,2,4,11.4,0,4,93,0,1
58123,29,2022-08-14 20:33:48+00:00,1.88,2,4,11.4,0,4,91,0,1
58116,29,2022-08-14 20:03:48+00:00,1.86,2,4,11.4,0,4,90,0,1
58115,29,2022-08-14 19:33:48+00:00,1.91,2,4,11.4,0,4,95,0,1
58108,29,2022-08-14 19:03:48+00:00,2.81,2,4,11.4,0,4,104,0,1
58107,29,2022-08-14 18:33:48+00:00,1.99,2,4,12.8,0,4,92,0,1
58100,29,2022-08-14 18:03:48+00:00,1.8,2,4,10.2,0,4,87,0,1
58099,29,2022-08-14 17:33:48+00:00,2.03,2,4,11.4,0,4,97,0,1
58092,29,2022-08-14 17:03:48+00:00,1.86,2,4,11.4,0,4,95,0,1
58091,29,2022-08-14 16:33:48+00:00,1.86,2,4,11.4,0,4,98,0,1
58084,29,2022-08-14 16:03:48+00:00,1.84,2,4,12.8,0,4,96,0,1
58083,29,2022-08-14 15:33:48+00:00,1.83,2,4,11.4,0,4,100,0,1
58076,29,2022-08-14 15:03:48+00:00,1.89,2,4,12.8,0,4,100,0,1
58075,29,2022-08-14 14:33:48+00:00,1.74,2,4,11.4,0,4,96,0,1
58068,29,2022-08-14 14:03:48+00:00,1.72,2,4,12.8,0,4,100,0,1
58067,29,2022-08-14 13:33:48+00:00,1.63,2,4,12.8,0,4,93,0,1
58060,29,2022-08-14 13:03:48+00:00,1.87,2,4,11.4,0,4,105,0,1
58059,29,2022-08-14 12:33:48+00:00,1.73,2,4,11.4,0,4,102,0,1
58052,29,2022-08-14 12:03:48+00:00,1.81,2,4,12.8,0,4,106,0,1
58051,29,2022-08-14 11:33:48+00:00,1.71,2,4,11.4,0,4,101,0,1
58044,29,2022-08-14 11:03:48+00:00,1.41,2,4,12.8,0,4,98,0,1
58043,29,2022-08-14 10:33:48+00:00,1.73,2,4,12.8,0,4,99,0,1
58036,29,2022-08-14 10:03:48+00:00,2.52,2,4,12.8,0,4,95,0,1
58035,29,2022-08-14 09:33:48+00:00,1.69,2,4,12.8,0,4,101,0,1
58028,29,2022-08-14 09:03:48+00:00,1.81,2,4,11.4,0,4,98,0,1
58027,29,2022-08-14 08:33:48+00:00,1.9,2,4,11.4,0,4,98,0,1
58020,29,2022-08-14 08:03:48+00:00,1.81,2,4,12.8,0,4,100,0,1
58019,29,2022-08-14 07:33:48+00:00,1.96,2,4,12.8,0,4,109,0,1
58012,29,2022-08-14 07:03:48+00:00,2.38,2,4,12.8,0,4,96,0,1
58011,29,2022-08-14 06:33:48+00:00,1.89,2,4,11.4,0,4,101,0,1
58004,29,2022-08-14 06:03:48+00:00,1.95,2,4,12.8,0,4,101,0,1
58003,29,2022-08-14 05:33:48+00:00,1.86,2,4,11.4,0,4,102,0,1
57996,29,2022-08-14 05:03:48+00:00,1.99,2,4,12.8,0,4,104,0,1
57995,29,2022-08-14 04:33:48+00:00,1.77,2,4,12.8,0,4,100,0,1
57988,29,2022-08-14 04:03:48+00:00,2.44,2,4,25.6,0,4,97,0,1
57987,29,2022-08-14 03:33:48+00:00,2.84,2,4,25.6,0,4,109,0,1
57980,29,2022-08-14 03:03:48+00:00,1.85,2,4,12.8,0,4,94,0,1
57979,29,2022-08-14 02:33:48+00:00,2.56,2,4,20.5,0,4,103,0,1
57972,29,2022-08-14 02:03:48+00:00,2.08,2,4,12.8,0,4,98,0,1
57971,29,2022-08-14 01:33:48+00:00,1.94,2,4,12.8,0,4,104,0,1
57964,29,2022-08-14 01:03:48+00:00,1.96,2,4,12.8,0,4,109,0,1
57963,29,2022-08-14 00:33:48+00:00,1.68,2,4,11.4,0,4,101,0,1
57956,29,2022-08-14 00:03:48+00:00,1.95,2,4,12.8,0,4,104,0,1
57955,29,2022-08-13 23:33:48+00:00,1.96,2,4,11.4,0,4,100,0,1
57948,29,2022-08-13 23:03:48+00:00,2.18,2,4,11.4,0,4,106,0,1
57947,29,2022-08-13 22:33:48+00:00,1.86,2,4,12.8,0,4,102,0,1
57940,29,2022-08-13 22:03:48+00:00,1.89,2,4,12.8,0,4,103,0,1
57939,29,2022-08-13 21:33:48+00:00,1.81,2,4,11.4,0,4,105,0,1
57932,29,2022-08-13 21:03:48+00:00,2.11,2,4,12.8,0,4,107,0,1
57931,29,2022-08-13 20:33:48+00:00,2.23,2,4,11.4,0,4,101,0,1
57924,29,2022-08-13 20:03:48+00:00,1.77,2,4,11.4,0,4,103,0,1
57923,29,2022-08-13 19:33:48+00:00,2.0,2,4,11.4,0,4,109,0,1
57916,29,2022-08-13 19:03:48+00:00,1.7,2,4,11.4,0,4,103,0,1
57915,29,2022-08-13 18:33:48+00:00,1.78,2,4,10.2,0,4,104,0,1
57908,29,2022-08-13 18:03:48+00:00,1.68,2,4,11.4,0,4,102,0,1
57907,29,2022-08-13 17:33:48+00:00,2.6,2,4,25.6,0,4,113,0,1
57900,29,2022-08-13 17:03:48+00:00,1.79,2,4,11.4,0,4,104,0,1
57899,29,2022-08-13 16:33:48+00:00,1.73,2,4,11.4,0,4,104,0,1
57892,29,2022-08-13 16:03:48+00:00,1.89,2,4,12.8,0,4,103,0,1
57891,29,2022-08-13 15:33:48+00:00,1.83,2,4,11.4,0,4,102,0,1
57884,29,2022-08-13 15:03:48+00:00,1.85,2,4,11.4,0,4,101,0,1
57883,29,2022-08-13 14:33:48+00:00,2.11,2,4,11.4,0,4,106,0,1
57876,29,2022-08-13 14:03:48+00:00,1.93,2,4,10.2,0,4,100,0,1
57875,29,2022-08-13 13:33:48+00:00,2.09,2,4,11.4,0,4,108,0,1
57868,29,2022-08-13 13:03:48+00:00,1.8,2,4,11.4,0,4,99,0,1
57867,29,2022-08-13 12:33:48+00:00,2.6,2,4,25.6,0,4,113,0,1
57860,29,2022-08-13 12:03:48+00:00,1.71,2,4,8.5,0,4,99,0,1
57859,29,2022-08-13 11:33:48+00:00,1.87,2,4,9.3,0,4,100,0,1
57852,29,2022-08-13 11:03:48+00:00,1.99,2,4,11.4,0,4,104,0,1
57851,29,2022-08-13 10:33:48+00:00,2.09,2,4,11.4,0,4,105,0,1
57844,29,2022-08-13 10:03:48+00:00,2.19,2,4,11.4,0,4,101,0,1
57843,29,2022-08-13 09:33:48+00:00,1.96,2,4,10.2,0,4,101,0,1
57836,29,2022-08-13 09:03:48+00:00,1.81,2,4,11.4,0,4,103,0,1
57835,29,2022-08-13 08:33:48+00:00,1.83,2,4,10.2,0,4,106,0,1
57828,29,2022-08-13 08:03:48+00:00,1.82,2,4,11.4,0,4,107,0,1
57827,29,2022-08-13 07:33:48+00:00,2.15,2,4,11.4,0,4,113,0,1
57820,29,2022-08-13 07:03:48+00:00,1.96,2,4,11.4,0,4,106,0,1
57819,29,2022-08-13 06:33:48+00:00,1.98,2,4,11.4,0,4,104,0,1
57812,29,2022-08-13 06:03:48+00:00,1.98,2,4,11.4,0,4,103,0,1
57811,29,2022-08-13 05:33:48+00:00,1.93,2,4,11.4,0,4,102,0,1
57804,29,2022-08-13 05:03:48+00:00,2.07,2,4,10.2,0,4,104,0,1
57803,29,2022-08-13 04:33:48+00:00,2.14,2,4,11.4,0,4,101,0,1
57796,29,2022-08-13 04:03:48+00:00,2.0,2,4,11.4,0,4,103,0,1
57795,29,2022-08-13 03:33:48+00:00,2.0,2,4,10.2,0,4,101,0,1
57788,29,2022-08-13 03:03:48+00:00,1.95,2,4,11.4,0,4,103,0,1
57787,29,2022-08-13 02:33:48+00:00,2.14,2,4,11.4,0,4,104,0,1
57780,29,2022-08-13 02:03:48+00:00,2.09,2,4,11.4,0,4,106,0,1
57779,29,2022-08-13 01:33:48+00:00,2.12,2,4,11.4,0,4,108,0,1
57772,29,2022-08-13 01:03:48+00:00,2.3,2,4,11.4,0,4,106,0,1
57771,29,2022-08-13 00:33:48+00:00,2.08,2,4,11.4,0,4,107,0,1
57764,29,2022-08-13 00:03:48+00:00,2.27,2,4,11.4,0,4,108,0,1
57763,29,2022-08-12 23:33:48+00:00,2.13,2,4,11.4,0,4,108,0,1
57756,29,2022-08-12 23:03:48+00:00,2.19,2,4,11.4,0,4,108,0,1
57755,29,2022-08-12 22:33:48+00:00,2.25,2,4,11.4,0,4,107,0,1
57748,29,2022-08-12 22:03:48+00:00,2.47,2,4,11.4,0,4,111,0,1
57747,29,2022-08-12 21:33:48+00:00,2.32,2,4,11.4,0,4,109,0,1
57740,29,2022-08-12 21:03:48+00:00,2.11,2,4,11.4,0,4,107,0,1
57739,29,2022-08-12 20:33:48+00:00,2.29,2,4,11.4,0,4,112,0,1
57732,29,2022-08-12 20:03:48+00:00,2.26,2,4,11.4,0,4,111,0,1
57731,29,2022-08-12 19:33:48+00:00,2.22,2,4,11.4,0,4,112,0,1
57724,29,2022-08-12 19:03:48+00:00,2.41,2,4,11.4,0,4,106,0,1
57723,29,2022-08-12 18:33:48+00:00,2.3,2,4,11.4,0,4,108,0,1
57716,29,2022-08-12 18:03:48+00:00,2.28,2,4,11.4,0,4,104,0,1
57715,29,2022-08-12 17:33:48+00:00,2.19,2,4,11.4,0,4,104,0,1
57708,29,2022-08-12 17:03:48+00:00,2.31,2,4,11.4,0,4,106,0,1
57707,29,2022-08-12 16:33:48+00:00,2.69,2,4,11.4,0,4,108,0,1
57700,29,2022-08-12 16:03:48+00:00,2.44,2,4,11.4,0,4,106,0,1
57699,29,2022-08-12 15:33:48+00:00,2.63,2,4,11.4,0,4,105,0,1
57692,29,2022-08-12 15:03:48+00:00,2.68,2,4,11.4,0,4,106,0,1
57691,29,2022-08-12 14:33:48+00:00,2.74,2,4,11.4,0,4,108,0,1
57684,29,2022-08-12 14:03:48+00:00,2.68,2,4,11.4,0,4,107,0,1
57683,29,2022-08-12 13:33:48+00:00,2.88,2,4,11.4,0,4,106,0,1
57676,29,2022-08-12 13:03:48+00:00,2.8,2,4,12.8,0,4,103,0,1
57675,29,2022-08-12 12:33:48+00:00,2.84,2,4,11.4,0,4,110,0,1
57670,29,2022-08-12 12:03:48+00:00,2.81,2,4,11.4,0,4,106,0,1
57669,29,2022-08-12 11:33:48+00:00,2.92,2,4,11.4,0,4,106,0,1
57662,29,2022-08-12 11:03:48+00:00,3.14,2,4,11.4,0,4,110,0,1
57661,29,2022-08-12 10:33:48+00:00,2.82,2,4,11.4,0,4,104,0,1
57654,29,2022-08-12 10:03:48+00:00,3.45,2,4,12.8,0,4,109,0,1
57653,29,2022-08-12 09:33:48+00:00,2.98,2,4,11.4,0,4,109,0,1
57646,29,2022-08-12 09:03:48+00:00,2.99,2,4,11.4,0,4,108,0,1
57645,29,2022-08-12 08:33:48+00:00,3.39,2,4,11.4,0,4,108,0,1
57638,29,2022-08-12 08:03:48+00:00,3.27,2,4,11.4,0,4,107,0,1
57637,29,2022-08-12 07:33:48+00:00,3.27,2,4,12.8,0,4,113,0,1
57630,29,2022-08-12 07:03:48+00:00,3.4,2,4,11.4,0,4,111,0,1
57629,29,2022-08-12 06:33:48+00:00,3.2,2,4,11.4,0,4,114,0,1
57624,29,2022-08-12 06:03:48+00:00,3.26,2,4,11.4,0,4,109,0,1
57623,29,2022-08-12 05:33:48+00:00,2.88,2,4,11.4,0,4,113,0,1
57614,29,2022-08-12 05:03:48+00:00,3.28,2,4,11.4,0,4,112,0,1
57613,29,2022-08-12 04:33:48+00:00,3.21,2,4,11.4,0,4,113,0,1
57608,29,2022-08-12 04:03:48+00:00,3.29,2,4,11.4,0,4,116,0,1
57607,29,2022-08-12 03:33:48+00:00,3.43,2,4,11.4,0,4,114,0,1
57600,29,2022-08-12 03:03:48+00:00,3.06,2,4,11.4,0,4,117,0,1
57599,29,2022-08-12 02:33:48+00:00,3.39,2,4,11.4,0,4,117,0,1
57592,29,2022-08-12 02:03:48+00:00,3.24,2,4,11.4,0,4,113,0,1
57591,29,2022-08-12 01:33:48+00:00,3.2,2,4,11.4,0,4,117,0,1
57584,29,2022-08-12 01:03:48+00:00,3.54,2,4,11.4,0,4,118,0,1
57583,29,2022-08-12 00:33:48+00:00,3.49,2,4,11.4,0,4,119,0,1
57576,29,2022-08-12 00:03:48+00:00,3.3,2,4,11.4,0,4,119,0,1
